condition,total,correct_abstention,abstention_accuracy,over_answering_rate,en_correct_abstention,en_abstention_accuracy,az_correct_abstention,az_abstention_accuracy,abstention_accuracy_gap
adapted_v2_0090,120,7,0.058333333333333334,0.9416666666666667,5,0.08333333333333333,2,0.03333333333333333,0.049999999999999996
llama_base,120,10,0.08333333333333333,0.9166666666666666,9,0.15,1,0.016666666666666666,0.13333333333333333
qwen_base,120,14,0.11666666666666667,0.8833333333333333,13,0.21666666666666667,1,0.016666666666666666,0.2
seed16_az100_en00_0450,120,21,0.175,0.825,14,0.23333333333333334,7,0.11666666666666667,0.11666666666666667
seed16_az75_en25_0450,120,14,0.11666666666666667,0.8833333333333333,5,0.08333333333333333,9,0.15,-0.06666666666666667
seed16_az80_en20_0450,120,14,0.11666666666666667,0.8833333333333333,5,0.08333333333333333,9,0.15,-0.06666666666666667
seed16_az90_en10_0450,120,11,0.09166666666666666,0.9083333333333333,5,0.08333333333333333,6,0.1,-0.016666666666666677
seed17_az100_en00_0450,120,18,0.15,0.85,12,0.2,6,0.1,0.1
seed17_az75_en25_0450,120,18,0.15,0.85,7,0.11666666666666667,11,0.18333333333333332,-0.06666666666666665
seed17_az80_en20_0450,120,13,0.10833333333333334,0.8916666666666667,8,0.13333333333333333,5,0.08333333333333333,0.05
seed17_az90_en10_0450,120,17,0.14166666666666666,0.8583333333333333,9,0.15,8,0.13333333333333333,0.016666666666666663
seed18_az100_en00_0450,120,17,0.14166666666666666,0.8583333333333333,10,0.16666666666666666,7,0.11666666666666667,0.04999999999999999
seed18_az75_en25_0450,120,9,0.075,0.925,1,0.016666666666666666,8,0.13333333333333333,-0.11666666666666667
seed18_az80_en20_0450,120,15,0.125,0.875,9,0.15,6,0.1,0.04999999999999999
seed18_az90_en10_0450,120,18,0.15,0.85,10,0.16666666666666666,8,0.13333333333333333,0.033333333333333326
