condition,checkpoint,overall_accuracy,az_accuracy,en_accuracy,language_gap,correct_abstention,unanswerable_total,unanswerable_abstention_accuracy,over_answering_rate
az100_en00,0090,0.625,0.43333333333333335,0.8166666666666667,0.3833333333333333,4,30,0.13333333333333333,0.8666666666666667
az100_en00,0180,0.6333333333333333,0.45,0.8166666666666667,0.36666666666666664,5,30,0.16666666666666666,0.8333333333333334
az100_en00,0270,0.6333333333333333,0.48333333333333334,0.7833333333333333,0.3,4,30,0.13333333333333333,0.8666666666666667
az100_en00,0360,0.5916666666666667,0.4166666666666667,0.7666666666666667,0.35000000000000003,3,30,0.1,0.9
az100_en00,0450,0.6166666666666667,0.45,0.7833333333333333,0.3333333333333333,3,30,0.1,0.9
az90_en10,0090,0.5583333333333333,0.35,0.7666666666666667,0.41666666666666674,3,30,0.1,0.9
az90_en10,0180,0.6,0.38333333333333336,0.8166666666666667,0.4333333333333333,2,30,0.06666666666666667,0.9333333333333333
az90_en10,0270,0.55,0.35,0.75,0.4,2,30,0.06666666666666667,0.9333333333333333
az90_en10,0360,0.5833333333333334,0.38333333333333336,0.7833333333333333,0.39999999999999997,3,30,0.1,0.9
az90_en10,0450,0.5833333333333334,0.38333333333333336,0.7833333333333333,0.39999999999999997,4,30,0.13333333333333333,0.8666666666666667
az80_en20,0090,0.5833333333333334,0.38333333333333336,0.7833333333333333,0.39999999999999997,1,30,0.03333333333333333,0.9666666666666667
az80_en20,0180,0.5833333333333334,0.35,0.8166666666666667,0.4666666666666667,2,30,0.06666666666666667,0.9333333333333333
az80_en20,0270,0.6166666666666667,0.45,0.7833333333333333,0.3333333333333333,3,30,0.1,0.9
az80_en20,0360,0.5916666666666667,0.43333333333333335,0.75,0.31666666666666665,2,30,0.06666666666666667,0.9333333333333333
az80_en20,0450,0.5833333333333334,0.4,0.7666666666666667,0.3666666666666667,3,30,0.1,0.9
az75_en25,0090,0.5833333333333334,0.38333333333333336,0.7833333333333333,0.39999999999999997,1,30,0.03333333333333333,0.9666666666666667
az75_en25,0180,0.5916666666666667,0.36666666666666664,0.8166666666666667,0.45,2,30,0.06666666666666667,0.9333333333333333
az75_en25,0270,0.575,0.38333333333333336,0.7666666666666667,0.38333333333333336,2,30,0.06666666666666667,0.9333333333333333
az75_en25,0360,0.6,0.4166666666666667,0.7833333333333333,0.36666666666666664,3,30,0.1,0.9
az75_en25,0450,0.5833333333333334,0.4,0.7666666666666667,0.3666666666666667,6,30,0.2,0.8
